shipment_id,origin,destination,weight,delivery_date,status,customer_id,truck_id,route_id
1,Cedar Falls,Chicago,1200,2025-01-10,pending,1,1,1
2,Des Moines,Kansas City,800,2025-01-12,in_transit,2,2,2
3,Sioux City,Denver,5000,2025-01-15,delivered,3,3,3
4,Ames,Minneapolis,1500,2025-01-18,cancelled,4,4,4
5,Davenport,St. Louis,2200,2025-01-20,pending,5,5,5
6,Waterloo,Omaha,1800,2025-01-22,in_transit,6,6,6
7,Cedar Rapids,Milwaukee,2000,2025-01-25,delivered,7,7,7
8,Iowa City,Detroit,3500,2025-01-28,pending,8,8,8
9,Mason City,Indianapolis,2700,2025-01-30,in_transit,9,9,9
10,Dubuque,Madison,900,2025-02-02,delivered,10,10,10
11,Fort Dodge,St. Paul,1600,2025-02-05,pending,11,11,11
12,Marshalltown,Chicago,1400,2025-02-07,in_transit,12,12,12
13,Ottumwa,Memphis,4200,2025-02-10,delivered,13,13,13
14,Clinton,Milwaukee,2100,2025-02-12,pending,14,14,14
15,Muscatine,St. Louis,2500,2025-02-15,in_transit,15,15,15
16,Sioux Falls,Minneapolis,1900,2025-02-18,delivered,16,16,16
17,La Crosse,Des Moines,1700,2025-02-20,pending,17,17,17
18,Peoria,Cedar Rapids,1300,2025-02-22,in_transit,18,18,18
19,Rockford,Davenport,1100,2025-02-25,delivered,19,19,19
20,Springfield,Ames,2800,2025-02-28,pending,20,20,20
21,Lincoln,Omaha,600,2025-03-02,in_transit,21,21,21
22,Omaha,Kansas City,1900,2025-03-05,delivered,22,22,22
23,Kansas City,Denver,5200,2025-03-08,pending,23,23,23
24,Denver,Chicago,4800,2025-03-10,in_transit,24,24,24
25,Chicago,Detroit,2600,2025-03-12,delivered,25,25,25
26,Detroit,Cleveland,1800,2025-03-14,pending,26,26,26
27,Cleveland,Pittsburgh,1500,2025-03-16,in_transit,27,27,27
28,Pittsburgh,Philadelphia,3200,2025-03-18,delivered,28,28,28
29,Philadelphia,New York,900,2025-03-20,pending,29,29,29
30,New York,Boston,2100,2025-03-22,in_transit,30,30,30
31,Boston,Albany,1700,2025-03-24,delivered,31,1,31
32,Albany,Buffalo,2900,2025-03-26,pending,32,2,32
33,Buffalo,Toronto,1000,2025-03-28,in_transit,33,3,33
34,Toronto,Ottawa,2800,2025-03-30,delivered,34,4,34
35,Ottawa,Montreal,2000,2025-04-01,pending,35,5,35
36,Montreal,Quebec City,1600,2025-04-03,in_transit,36,6,36
