truck_id,license_plate,capacity,model,year,driver_id
1,ABC-1234,15000,Freightliner,2018,1
2,XYZ-5678,20000,Kenworth,2020,2
3,LMN-9012,18000,Volvo,2019,3
4,JKL-3456,22000,Peterbilt,2021,4
5,QRS-7890,16000,Freightliner,2017,5
6,TUV-1111,19000,Kenworth,2016,6
7,WXY-2222,21000,Volvo,2015,7
8,ZAB-3333,17000,Peterbilt,2019,8
9,CDE-4444,20000,Freightliner,2020,9
10,FGH-5555,18000,Kenworth,2018,10
11,IJK-6666,22000,Volvo,2021,11
12,LMO-7777,16000,Peterbilt,2017,12
13,NOP-8888,19000,Freightliner,2016,13
14,QRT-9999,21000,Kenworth,2015,14
15,STU-0001,17000,Volvo,2019,15
16,VWX-0002,20000,Peterbilt,2020,16
17,YZA-0003,18000,Freightliner,2018,17
18,BCD-0004,22000,Kenworth,2021,18
19,EFG-0005,16000,Volvo,2017,19
20,HIJ-0006,19000,Peterbilt,2016,20
21,KLM-0007,21000,Freightliner,2015,1
22,NOP-0008,17000,Kenworth,2019,2
23,QRS-0009,20000,Volvo,2020,3
24,TUV-0010,18000,Peterbilt,2018,4
25,WXY-0011,22000,Freightliner,2021,5
26,ZAB-0012,16000,Kenworth,2017,6
27,CDE-0013,19000,Volvo,2016,7
28,FGH-0014,21000,Peterbilt,2015,8
29,IJK-0015,17000,Freightliner,2019,9
30,LMO-0016,20000,Kenworth,2020,10
